Year,Month,tem,rain
1901,1,16.976,18.5356
1901,2,19.9026,16.2548
1901,3,24.3158,70.7981
1901,4,28.1834,66.1616
1901,5,27.8892,267.215
1901,6,28.8925,341.042
1901,7,28.3327,540.907
1901,8,27.9243,493.21
1901,9,27.6057,291.549
1901,10,27.0887,199.171
1901,11,22.1671,126.285
1901,12,18.5574,1.69035
1902,1,18.5455,1.29152
1902,2,20.1252,0.14722
1902,3,25.5508,62.7686
1902,4,26.5562,229.589
1902,5,27.3165,302.197
1902,6,28.266,528.775
1902,7,27.6247,415.257
1902,8,28.1001,435.166
1902,9,27.7271,282.872
1902,10,26.0153,76.6518
1902,11,21.9907,4.48053
1902,12,18.2532,6.51869
1903,1,17.7023,2.4001
1903,2,19.5474,16.7112
1903,3,24.3562,35.0165
1903,4,28.0898,79.8924
1903,5,28.5913,206.714
1903,6,27.906,606.088
1903,7,28.6851,376.786
1903,8,27.5889,401.075
1903,9,27.7468,288.777
1903,10,26.8644,190.116
1903,11,22.4298,53.8007
1903,12,18.3745,0.0104
1904,1,17.7866,0.3257
1904,2,19.9656,40.4723
1904,3,25.0148,32.017
1904,4,27.3117,169.242
1904,5,27.1157,317.756
1904,6,27.8145,525.691
1904,7,27.4404,707.404
1904,8,27.9148,367.376
1904,9,27.9551,181.867
1904,10,26.2871,72.9881
1904,11,22.1525,32.9518
1904,12,18.7779,1.97838
1905,1,17,7.07224
1905,2,17.8269,22.9071
1905,3,22.9851,78.9631
1905,4,25.4188,203.005
1905,5,27.1236,315.752
1905,6,29.0868,224.887
1905,7,27.8607,559.799
1905,8,27.4862,624.073
1905,9,27.8164,623.689
1905,10,26.5021,133.63
1905,11,22.6873,4.91701
1905,12,18.6721,7.61877
1906,1,17.5423,13.9546
1906,2,19.4317,65.6833
1906,3,23.0485,53.425
1906,4,27.9907,29.6299
1906,5,28.4449,229.508
1906,6,28.2983,357.968
1906,7,28.3345,487.922
1906,8,27.4695,388.641
1906,9,28.3886,212.273
1906,10,26.428,185.89
1906,11,22.7998,48.9485
1906,12,19.2146,0.01352
1907,1,19.0642,10.7854
1907,2,19.7055,28.6799
1907,3,23.1507,123.023
1907,4,26.1498,115.429
1907,5,27.6634,234.761
1907,6,27.8377,549.54
1907,7,27.8421,327.091
1907,8,28.1978,223.517
1907,9,27.8996,269.975
1907,10,26.7797,51.2185
1907,11,22.7542,9.41034
1907,12,18.6971,13.5853
1908,1,17.2889,7.99686
1908,2,20.212,12.5831
1908,3,25.0639,8.35921
1908,4,29.3307,44.7567
1908,5,28.0869,281.536
1908,6,28.3117,786.245
1908,7,27.9535,454.244
1908,8,28.0517,696.272
1908,9,28.0101,239.95
1908,10,26.5604,70.0824
1908,11,22.174,3.32205
1908,12,18.3258,0.06706
1909,1,18.6933,3.05691
1909,2,20.1593,5.51192
1909,3,25.9954,0.05684
1909,4,26.4867,297.624
1909,5,27.9672,209.147
1909,6,27.2679,732.781
1909,7,28.1115,353.252
1909,8,27.414,407.441
1909,9,28.3398,193.233
1909,10,26.8933,162.603
1909,11,23.6615,15.8119
1909,12,19.1166,10.6704
1910,1,17.7787,8.7212
1910,2,19.9987,23.461
1910,3,24.3738,42.3547
1910,4,26.912,118.086
1910,5,27.8941,266.631
1910,6,27.3892,547.481
1910,7,27.3739,767.513
1910,8,27.8772,306.786
1910,9,28.2254,273.808
1910,10,26.2802,177.51
1910,11,22.3027,25.508
1910,12,18.1829,0.04428
1911,1,19.0692,14.8878
1911,2,19.6118,5.67389
1911,3,23.8229,53.2531
1911,4,26.9944,120.237
1911,5,27.6235,326.943
1911,6,27.5065,605.515
1911,7,28.14,495.969
1911,8,27.754,737.185
1911,9,27.7117,383.276
1911,10,26.023,153.624
1911,11,22.1109,15.4586
1911,12,17.7475,0.00822
1912,1,18.2763,2.25106
1912,2,20.9062,29.7185
1912,3,24.4209,76.6334
1912,4,26.0439,162.34
1912,5,27.7741,280.501
1912,6,28.3068,432.564
1912,7,27.6907,468.194
1912,8,27.7733,334.72
1912,9,27.9862,185.82
1912,10,26.2671,218.287
1912,11,22.3421,130.107
1912,12,18.3319,4.99061
1913,1,18.1365,1.3331
1913,2,20.7171,52.7534
1913,3,23.7257,65.26
1913,4,27.9796,109.438
1913,5,27.0109,320.563
1913,6,26.8354,766.414
1913,7,28.0541,632.049
1913,8,27.7176,608.192
